year,id,player_name,pos,draft_projection,athleticism_score,size_score,production_score,ngs_score
2008,32194241-4c31-6409-85d3-ab0bdb2e6d68,Ervin Baldwin,DE,,,,,
2008,32194d4f-4f32-9900-c8cf-25ca3adc7128,Evan Moore,TE,,,,,
2008,32194255-5419-2185-9d7d-03fbec80003d,Ezra Butler,OLB,,,,,
2008,32194a4f-4e31-3929-cf74-6ba20b5492a4,Felix Jones,RB,,,,,60.833268277047
2008,32194f4b-4141-5291-17d7-e77a5d3b65d4,Frank Okam,DT,,,,,
2008,32194455-4e09-2891-1207-4ac0e3d2cea3,Franklin Dunbar,OT,,,,,
2008,32194441-5631-8170-d9c9-5d0c84f7281b,Fred Davis,TE,,,,,
2008,32194241-5252-1746-fac5-fd380601e9a8,Gary Barnidge,TE,,,,,
2008,32194755-5970-0674-dd61-bcbce5eea890,Gary Guyton,LB,,,,,
2008,32194841-5916-3825-70cc-a75cc767d62a,Geno Hayes,ILB,,,,,
2008,32195343-4875-4699-dfc4-ff4a6b024a0b,Geoff Schwartz,OL,,,,,
2008,3219444f-5258-7585-ad3c-ce8e364962f7,Glenn Dorsey,DT,,,,,
2008,32195348-4143-6588-97ff-8d63727aaeeb,Glenn Sharpe,CB,,,,,
2008,32194348-4525-3467-5100-8f35d728235c,Gosder Cherilus,OT,,,,,
2008,3219444f-5537-2712-469b-b8a53cbbac81,Harry Douglas,WR,,,,,62.6383266284832
2008,32194e41-4b04-9576-81ca-084481f520dc,Haruki Nakamura,FS,,,,,
2008,32195441-5925-2978-b73b-69d03c16efc9,Hilee Taylor,OLB,,,,,
2008,32194142-4466-0476-f505-0cb007da0036,Husain Abdullah,DB,,,,,
2008,32194649-4e40-9250-9aca-9c20810c5538,J.J. Finley,TE,,,,,
2008,3219494b-4523-7309-d18a-9aeb1cc84177,Jack Ikegwuonu,CB,,,,,
2008,32195749-4c32-1109-2e47-a744b289434a,Jack Williams,CB,,,,,
2008,32194845-5327-2038-6d1e-db1c093e525f,Jacob Hester,FB,,,,,
2008,32195441-4d51-1848-2775-b913bb227857,Jacob Tamme,TE,,,,,
2008,32194c4f-4e31-9884-e327-756be221e1bd,Jake Long,OT,,,,,
2008,32195041-5259-3998-d9a9-52ea4b1b0156,Jalen Parmele,RB,,,,,69.8246398807808
2008,32194348-4156-1428-9f1c-5f1ac0825aaa,Jamaal Charles,RB,,,,,87.1129869719529
2008,32194144-4139-3165-cb72-9ea329a3b66e,Jamar Adams,S,,,,,
2008,32194d43-4332-5971-3bc3-354c557f930c,Jameel McClain,LB,,,,,
2008,3219424c-4150-6112-9ff6-c22b47764f07,James Blair,OT,,,,,
2008,32194841-5210-8650-e0d5-22128329712c,James Hardy,WR,,,,,68.758278351737
2008,32195249-4321-5694-7962-1aa7d8582803,Jamey Richard,OL,,,,,
2008,32195349-4c68-8224-608a-3911b09cb273,Jamie Silva,FS,,,,,
2008,32194a4f-4e44-8884-a1b5-4bbab771fd2e,Jason Jones,DE,,,,,
2008,32195249-5656-3472-2002-881b23097690,Jason Rivers,WR,,,,,60.3818453900507
2008,32195348-4968-6179-b154-8389a916ad0b,Jason Shirley,DT,,,,,
2008,32194a4f-4834-1279-45e8-8be183cd408b,Jaymar Johnson,WR,,,,,61.5823144083424
2008,32194f54-4126-6972-bcc7-3a5271544f97,Jeff Otah,OT,,,,,
2008,32194341-5537-7027-b7d1-9db21d87c5e7,Jehuu Caulcrick,RB,,,,,
2008,32194745-4142-2603-759f-5942e3097b3c,Jeremy Geathers,DE,,,,,
2008,32194c45-4d10-5154-dcf4-52e1baad9ecb,Jeremy Leman,LB,,,,,
2008,32195448-4f59-2560-271c-09a585a9d236,Jeremy Thompson,DE,,,,,
2008,32195a55-5462-2937-f6c9-e90bcfb1cb1a,Jeremy Zuttah,OG,,,,,
2008,32194649-4e40-3212-496c-a600865a1ff1,Jermichael Finley,TE,,,,,
2008,32194d41-5965-1489-16cb-a1db10652a64,Jerod Mayo,OLB,,,,,
2008,32194645-4c64-2097-db3a-4c9133cd8890,Jerome Felton,FB,,,,,
2008,32195349-4d53-1556-5ca5-bdba7e678c79,Jerome Simpson,WR,,,,,63.6862592491714
2008,32194455-4e09-7263-1303-a785127c3079,Jo-Lonn Dunbar,OLB,,,,,
2008,3219434c-4562-2928-25af-183f17237368,Joe Clermond,LB,,,,,
2008,3219464c-4100-9602-96e8-665718e215c0,Joe Flacco,QB,,,,,69.9612760370774
2008,32194d41-5978-1637-36f3-36a4f89608c4,Joe Mays,ILB,,,,,
2008,32195745-5328-6088-ce94-78d35d532488,Joe West,WR,,,,,50
2008,32194841-5975-0214-c304-c9a13a95228a,Joey Haynos,TE,,,,,
2008,32194c41-5219-2070-c208-2cf1994b72b0,Joey LaRocque,OLB,,,,,
2008,32194341-5214-2530-64cb-273d0f5fe02b,John Carlson,TE,,,,,
2008,3219424f-4f69-7400-a301-7338580caa31,John David Booty,QB,,,,,50
2008,32194752-4502-9234-13db-2c5705277831,John Greco,OT,,,,,
2008,32195355-4c51-3788-e720-9d7e724c6ec1,John Sullivan,C,,,,,
2008,32194449-4e26-0547-df89-4a9ff12ec11d,Johnny Dingle,DE,,,,,
2008,3219474f-4625-5636-6487-eff0e2a135c3,Jonathan Goff,LB,,,,,
2008,32194845-4670-4900-5199-f60453192a09,Jonathan Hefney,KR,,,,,
2008,32195354-4577-0966-26a7-63b5bd7a0239,Jonathan Stewart,RB,,,,,74.3473395889441
2008,32195749-4c06-2357-8929-f2f8648a2adb,Jonathan Wilhite,CB,,,,,
2008,32195a45-4e66-1932-eb62-120142c451a5,Jonathan Zenon,CB,,,,,
2008,32194449-5a47-4619-d080-1d56597ad926,Jordon Dizon,OLB,,,,,
2008,32194e45-4c51-7441-cb9a-dcc50c9bd02c,Jordy Nelson,WR,,,,,72.3313022421715
2008,32194241-5264-0594-3ace-895f3c296d13,Josh Barrett,S,,,,,
2008,32194a4f-4800-0001-966a-b4f304503fea,Josh Johnson,QB,,,,,52.1051808395132
